Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
venkatakarthik,5,"great education for younger children to know our culture and lifestyle of our ancestors, highly recommend you take your child there"
Dr Manoj Swaminathan,5,"Kids will simply enjoy the various rides, which are indeed cost effective. Better to visit after 5PM."
Bhargavi naidu P,5,We enjoyed the stay it was very nice food and staff courtesy was excellent and very friendly we came to enjoyed my wife birthday reception staff Gave us surprise cake to us thank u for every thing tour is very nice we will again to this place gardens are very pleasent
Lsvprasad,5,"Enjoyed a lot on my birthday 🎂🎊,I liked it, first time visit, but thril and fun is unlimited.I will visit again with my family and friends."
NAZEER SHAIK,3,Nice place to visit with family. but no more features to enjoy with kids. infront of sagar is nice to take rest with family
Mittal28,5,"I am having 1 year old daughter..she got very happy in zoo..different types of birds,reptile,animals,water reptiles,etc are very much..zoo is very big..take battery operated car and rome inside"
Saurabh M,4,"Exploring Telangana...... Hyderabad.....at birla.maindir.......No cameras are allowed here.......Located near lakadi ka pull metro station.......  Beautiful place......Birla Mandir is near to Lakdi-ka-pul and Assembly Hyderabad metro station. Birla Mandir is well connected by TSRTC buses and MMTS. The nearest MMTS station is Lakdi ka pul. Bus No: 5K,5S,5 From Secunderabad to Mehdipatnam any bus no. 113 from Uppal to Mehdipatnam.Birla Mandir is a Hindu temple, built on a 280 feet (85 m) high hillock called Naubath Pahad on a 13 acres (53,000 m2) plot in Hyderabad, Telangana, India. The construction took 10 years and was opened in 1976 by Swami Ranganathananda of Ramakrishna Mission. The temple was constructed by Birla Foundation, which has also constructed several similar temples across India, all of which are known as Birla Mandir....The temple manifests a blend of Dravidian, Rajasthani and Utkala architectures. It is constructed of 2000 tons of pure white marble. The granite idol of presiding deity Lord Venkateswara is about 11 ft (3.4 m) tall and a carved lotus forms an umbrella on the top. There is a brass flagstaff in the temple premises which rises to a height of 42 ft (13 m). The temple does not have traditional bells, as Swami Ranganathananda wished that the temple atmosphere should be conducive for meditation.Apart from the main shrine, the consorts of Lord Venkateswara, Padmavati and Andal are housed in separate shrines. The temple also has separate shrines for various Deva and Devi including Shiva, Shakti, Ganesh, Hanuman, Brahma, Saraswati and Lakshmi. Selected because teachings of men and Gurbani are engraved on temple walls. Birla temples are open to all, as identified by Mahatma Gandhi and other Hindu leaders."
Baburajnair,5,Could find some rare animals here. Well maintained. Bit crowded during holidays. Better to visit during winter. Can spend a day easily here. Safari is also there. Galapagose tortoise is a main attraction. 
Alok Kumar,5,Golconda Fort is in the outskirts of city... the tourist guide are must who explains the stories of glory .. they will take yiy back hundreds of years back.. in history... Good for visiting in a cloudy day.. as it's hot in summer.. Specially if sun is scrotchy .. govwirh goggles and umbrella
Sydulu,5,"Me and my family came to wonderla and the enjoyment in wonderla is incomparable with any other place or trip.It was fantastic place to enjoy with family,friends,kids and everyone."
Passport64805706078,4,Enjoyed lot with my Friends good place to visit we are basically from andhra vijayawada.... Y not wonderla will be opend in andhra... We want to enjoy wonderla near by us
deejay90210,4,"Centrally located lake, with boating facilities. Some eating joints are also there on one side. Good place to spend a few hours."
CuriousTraveller,5,It is an awesome park with lot of bequtiful artificial trees. There is also one main tree that is very big and also has some thing like a sliding thing for kids. Overall its a must visit place in Necklace road close to L V Prasad Eye max theatre. You can spend the entire Sunday here with your little ones spending time at near by iMax theatre.
Nipunika J,3,"Visited it in late afternoon in December hence was pretty hot. It was pretty crowded, the fort is interesting place. Worth a visit when in Hyderabad. The roads around are narrow, hence plan your visit likewise if driving there. "
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
Road64071690834,5,"Recoil is more than life risk, and eqionox is more the havaen and space is nice and car racing...so much life thrill races...thanku wonderlla."
Supraja,5,Have to visit the mandir for sure Everytime I visit. What a atmosphere ... Really a very good time and quality time spent
